uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:5kYXFA62ZuvcJTrpNQke9V	0.605	0.943	9	-4.819	0	0.0345	0.000454	0.219	0.0461	0.33	128.001	273750	12
spotify:track:0gfVBL5Ya8r6SqNEdLbYCv	0.838	0.969	9	-4.042	1	0.211	0.00355	0.0986	0.0397	0.361	124.005	298548	0
spotify:track:0Nsg0UF9XJSfkAI4OFHdUT	0.634	0.899	1	-6.128	1	0.0435	9.06e-05	0.735	0.0504	0.955	125.005	343000	6
spotify:track:6rwuLS3kg9Rulot4ikFh9J	0.71	0.982	7	-4.767	1	0.0939	0.000823	0.0143	0.333	0.237	129.003	163721	2
spotify:track:3Dt6xGaVQjY00Mozs0uwg6	0.775	0.967	1	-4.829	0	0.0684	0.00135	0.372	0.0163	0.379	125.999	369677	12
spotify:track:5IkKI2oQtPyYn7dbnzZ3RW	0.813	0.938	0	-3.979	1	0.054	0.000154	0.119	0.0325	0.682	125.003	372100	11
spotify:track:3DDkayXgcOKbkhZyAf75K5	0.701	0.832	3	-7.217	1	0.0351	0.000775	0.51	0.0401	0.57	126.037	409355	12
spotify:track:2TAHGGbmtwtlH47hZLYWzu	0.746	0.91	7	-8.766	1	0.0586	0.00515	0.261	0.147	0.794	128.004	181133	12
spotify:track:51euUaX8ITKGbDgIWTvps2	0.799	0.905	0	-7.368	1	0.0737	0.0117	0.755	0.198	0.834	129.015	306977	-1
spotify:track:3MLwDvzt63FlZQClm9cbBV	0.586	0.892	7	-6.678	1	0.0391	0.0013	0.662	0.0706	0.0355	123.998	186774	-1
spotify:track:5ubFevhoHFXHOnxWWzgjGP	0.668	0.906	9	-6.646	0	0.0398	0.00465	0.752	0.386	0.0908	126.002	219823	2
spotify:track:2c61UGWQ6HndpS4DhOyhti	0.488	0.991	11	-5.326	0	0.144	0.0126	0.0277	0.411	0.29	128.062	204375	2
spotify:track:5Q1EkZan0FG4BYs9ntwTAQ	0.636	0.916	7	-5.337	0	0.0425	0.00355	0.0011	0.147	0.0772	128.032	236484	12
spotify:track:3K0CiJuon8q9fcgKCrm7rm	0.258	0.956	9	-6.99	0	0.0469	0.00151	0.828	0.272	0.276	139.965	198857	2
spotify:track:0dadRZuhqEnXQExMwwgtpb	0.45	0.991	10	-5.844	0	0.0512	0.000939	0.939	0.346	0.111	140.281	232773	2
spotify:track:6kQCFnfxYic4bm43IzNyw4	0.802	0.786	9	-9.716	1	0.0391	9.72e-05	0.797	0.115	0.61	124.007	371593	-1
spotify:track:3h7ppdfhhztrZBw6F4J4J9	0.806	0.663	1	-8.589	1	0.0731	0.00393	0.807	0.0801	0.469	126.997	246774	-1
spotify:track:5Cv9UBYh2VkiCspwh4Wog5	0.655	0.89	5	-6.434	0	0.0611	0.101	0.0149	0.488	0.328	127.979	199967	-1
spotify:track:4QUA94c3ycZm8dnpPih4sf	0.486	0.896	11	-6.189	0	0.0346	0.0015	0.0443	0.217	0.195	123.967	161883	12
spotify:track:2BXzimZvrg8j789MeB2JDe	0.633	0.787	10	-5.724	0	0.0269	0.0119	0.285	0.0669	0.255	124.982	234190	12
spotify:track:2AlcINfISMGyUxUx6XSTr2	0.357	0.72	11	-10.539	0	0.0733	0.152	0.68	0.0972	0.544	169.218	177806	-1
spotify:track:1oeP4pXCThTXbPhRFXWFyB	0.807	0.873	1	-11.199	1	0.0602	5.75e-05	0.885	0.0932	0.613	126.998	315273	-1
spotify:track:5I1UVqlg6sLuG0N5iBOg1L	0.862	0.792	11	-8.129	0	0.0672	0.0269	0.563	0.0686	0.859	121.007	385195	11
spotify:track:3MPMlVLLHgPPJJBDrX424v	0.66	0.884	4	-6.34	0	0.0576	0.0129	0.00821	0.42	0.472	119.991	148000	2
spotify:track:5ZA8y7ISUIEWcfuQSai2kX	0.734	0.916	6	-3.942	0	0.035	0.219	0.00578	0.145	0.73	126.015	143333	12
spotify:track:59iEaoAOSV9LQy4SaGy6rh	0.682	0.542	1	-8.572	0	0.041	0.0981	0.246	0.182	0.635	127.896	131250	12
spotify:track:3ozBO2VCTzeWaWHMF8Vko9	0.67	0.952	7	-4.954	0	0.0349	0.105	0.872	0.105	0.0802	129.995	244616	-1
spotify:track:1vMecECuGNLokzgc2yliP1	0.75	0.684	1	-11.367	0	0.0461	0.0261	0.096	0.392	0.385	135.043	179111	2
spotify:track:4oNaxYqoPdm6EGrJFldOx1	0.802	0.936	4	-4.918	1	0.0694	0.00482	0.0152	0.285	0.735	126.022	143333	-1
spotify:track:2dIVPfcnxiinalzOQpHWq8	0.731	0.982	8	-5.424	1	0.164	0.0264	0.000297	0.11	0.593	125.949	168571	0
spotify:track:3rvhqLBTn4OC50qevb5ii9	0.73	0.808	5	-3.94	0	0.0387	0.0356	0.0286	0.219	0.536	126.014	168095	12
spotify:track:0v2DHpz6Nkkd3G6CA8OnX2	0.859	0.727	8	-8.663	1	0.272	0.209	0.793	0.0908	0.656	125.039	157454	-1
spotify:track:1Ox9ITclZVpZeN3KgDJkj5	0.709	0.783	3	-5.839	0	0.0854	0.048	0.867	0.311	0.484	128.137	131250	2
spotify:track:2Ks0xBPDyZJjIip8TWuG60	0.579	0.761	5	-5.285	0	0.197	2.68e-05	0.857	0.109	0.32	130.008	356769	-1
spotify:track:3UCnSaaqDCgtuRo0J8Sxbp	0.507	0.944	0	-4.35	0	0.0577	0.000486	0.521	0.0733	0.0689	104.967	318667	12
spotify:track:2bEOoGCjJJVf60y3aKgXcn	0.624	0.904	4	-4.774	1	0.0479	0.00112	0.0231	0.604	0.649	130.153	216733	-1
spotify:track:138ADAIJra5lBNbqQF2m7z	0.6	0.954	11	-5.463	0	0.0555	0.0086	0.624	0.0775	0.665	140.125	244427	-1
